day,time,use?,action,date_time,remarks,duration,duration_seconds,timestamp,duration_msec
26.01.2018,21:39:00,i,auto,2018-01-26 21:39:00,,00:15:00,900,1517002740000,900000
26.01.2018,21:54:00,u,gehen,2018-01-26 21:54:00,,01:38:00,5880,1517003640000,5880000
26.01.2018,23:32:00,u,sitzen,2018-01-26 23:32:00,Band ist ausgefallen zwischendurch,03:25:00,12300,1517009520000,12300000
27.01.2018,02:57:00,n,sitzen,2018-01-27 02:57:00,Akku aus seit letzter Messung. seit nur sitzend. 2:51 ca ende autofahrt. ca vor 15 min losgefahren,00:39:00,2340,1517021820000,2340000
27.01.2018,03:36:00,n,schlafen,2018-01-27 03:36:00,,08:19:00,29940,1517024160000,29940000
27.01.2018,11:55:00,u,liegen,2018-01-27 11:55:00,,00:44:00,2640,1517054100000,2640000
27.01.2018,12:39:00,u,sitzen,2018-01-27 12:39:00,,00:48:00,2880,1517056740000,2880000
27.01.2018,13:27:00,u,joggen,2018-01-27 13:27:00,,00:20:00,1200,1517059620000,1200000
27.01.2018,13:47:00,u,gehen,2018-01-27 13:47:00,,00:39:00,2340,1517060820000,2340000
27.01.2018,14:26:00,u,sitzen,2018-01-27 14:26:00,,01:24:00,5040,1517063160000,5040000
27.01.2018,15:50:00,n,nul,2018-01-27 15:50:00,aber hat noch akku,02:31:00,9060,1517068200000,9060000
27.01.2018,18:21:00,u,gehen,2018-01-27 18:21:00,handy neustarten,00:04:00,240,1517077260000,240000
27.01.2018,18:25:00,i,auto,2018-01-27 18:25:00,,00:20:00,1200,1517077500000,1200000
27.01.2018,18:45:00,u,gehen,2018-01-27 18:45:00,,00:06:00,360,1517078700000,360000
27.01.2018,18:51:00,u,arbeit,2018-01-27 18:51:00,,08:30:00,30600,1517079060000,30600000
28.01.2018,03:21:00,n,auto,2018-01-28 03:21:00,handy akku leer,00:10:00,600,1517109660000,600000
28.01.2018,03:31:00,u,gehen,2018-01-28 03:31:00,,00:09:00,540,1517110260000,540000
28.01.2018,03:40:00,u,liegen,2018-01-28 03:40:00,,00:58:00,3480,1517110800000,3480000
28.01.2018,04:38:00,n,schlafen,2018-01-28 04:38:00,,09:44:00,35040,1517114280000,35040000
28.01.2018,14:22:00,u,liegen,2018-01-28 14:22:00,,01:09:00,4140,1517149320000,4140000
28.01.2018,15:31:00,u,sitzen,2018-01-28 15:31:00,,01:43:00,6180,1517153460000,6180000
28.01.2018,17:14:00,u,liegen,2018-01-28 17:14:00,,02:46:00,9960,1517159640000,9960000
28.01.2018,20:00:00,u,joggen,2018-01-28 20:00:00,,00:21:00,1260,1517169600000,1260000
28.01.2018,20:21:00,u,gehen,2018-01-28 20:21:00,,01:09:00,4140,1517170860000,4140000
28.01.2018,21:30:00,i,auto,2018-01-28 21:30:00,,00:15:00,900,1517175000000,900000
28.01.2018,21:45:00,u,gehen,2018-01-28 21:45:00,,00:05:00,300,1517175900000,300000
28.01.2018,21:50:00,u,sitzen,2018-01-28 21:50:00,,00:44:00,2640,1517176200000,2640000
28.01.2018,22:34:00,i,auto,2018-01-28 22:34:00,,00:10:00,600,1517178840000,600000
28.01.2018,22:44:00,u,gehen,2018-01-28 22:44:00,,00:08:00,480,1517179440000,480000
28.01.2018,22:52:00,u,sitzen,2018-01-28 22:52:00,,07:15:00,26100,1517179920000,26100000
29.01.2018,06:07:00,n,schlafen,2018-01-29 06:07:00,,09:27:00,34020,1517206020000,34020000
29.01.2018,15:34:00,u,liegen,2018-01-29 15:34:00,,01:54:00,6840,1517240040000,6840000
