"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.333638875E0,-2.772983551E0,9.119036865E-1,9.698182526E0,1.012796872E1
1.343648875E0,-2.824027405E0,8.101153564E-1,9.701625366E0,1.013671310E1
1.353688875E0,-2.847229156E0,7.144642639E-1,9.676477661E0,1.011194309E1
1.363728875E0,-2.808759155E0,7.282356262E-1,9.722731476E0,1.014647537E1
1.373738875E0,-2.755469971E0,7.755372620E-1,9.597591705E0,1.001538014E1
1.383778875E0,-2.665057983E0,7.740403748E-1,9.419462128E0,9.819772876E0
1.393788875E0,-2.757266235E0,8.716374207E-1,9.324260101E0,9.762381642E0
1.403828875E0,-2.803819427E0,1.012045441E0,9.086105347E0,9.562580704E0
1.413838875E0,-2.694846039E0,1.053209839E0,8.842262421E0,9.303604186E0
1.423879875E0,-2.698139191E0,1.039887543E0,8.663384399E0,9.133211398E0
1.433919875E0,-2.691552887E0,1.070873108E0,8.474028168E0,8.955466462E0
1.443929875E0,-2.702330475E0,1.164877625E0,8.331225128E0,8.835657418E0
1.453969875E0,-2.819087677E0,1.219364319E0,8.238567810E0,8.792502729E0
1.463979875E0,-2.847528534E0,1.276844788E0,8.121511230E0,8.700442289E0
1.474019875E0,-2.902164917E0,1.305884399E0,7.999514923E0,8.609305098E0
1.484059875E0,-2.906356201E0,1.279239807E0,7.944279785E0,8.555404266E0
1.494069875E0,-2.928659821E0,1.332229614E0,7.865543518E0,8.498156207E0
1.504109875E0,-3.008443909E0,1.376537476E0,7.841443634E0,8.510806568E0
1.514119875E0,-3.040028229E0,1.376238098E0,7.918383636E0,8.592822723E0
1.524159875E0,-3.066672821E0,1.346450043E0,7.986492004E0,8.660338587E0
1.534169875E0,-3.046764221E0,1.344204712E0,7.993826752E0,8.659730057E0
1.544209875E0,-2.982547760E0,1.420695648E0,8.024962006E0,8.678362890E0
1.554250875E0,-2.921923828E0,1.469045105E0,8.029153290E0,8.669661754E0
1.564259875E0,-2.813549194E0,1.440903625E0,7.919730835E0,8.527273821E0
1.574300875E0,-2.657274170E0,1.471440125E0,7.803871765E0,8.374166023E0
1.584309875E0,-2.584824829E0,1.563348999E0,7.749235382E0,8.317212784E0
1.594350875E0,-2.636018372E0,1.584155731E0,7.722441101E0,8.312294436E0
1.604359875E0,-2.652484131E0,1.616338806E0,7.661817169E0,8.267506609E0
1.614400875E0,-2.681074677E0,1.617536316E0,7.670798492E0,8.285272154E0
1.624440875E0,-2.770289154E0,1.528172150E0,7.704179077E0,8.328516517E0
1.634450875E0,-2.838996277E0,1.462009735E0,7.736960907E0,8.370061911E0
1.644490875E0,-2.767445068E0,1.427880707E0,7.743547211E0,8.346263770E0
1.654500875E0,-2.674787750E0,1.371148682E0,7.728728027E0,8.292633788E0
1.664540875E0,-2.742596741E0,1.331630859E0,7.759563904E0,8.337020427E0
