"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.024337083E-1,2.262934584E-2,-8.159369174E-2,-3.564696550E-2,9.187123584E-2
9.124437083E-1,3.551332008E-2,-5.064547565E-2,-3.538734913E-2,7.126306607E-2
9.224837083E-1,-3.839464523E-3,-2.660104880E-2,-1.388304412E-2,3.025055701E-2
9.324937083E-1,-4.019701291E-2,-1.338159056E-2,-5.073219717E-2,6.609555690E-2
9.425337083E-1,-3.462969616E-2,-1.496320758E-2,-6.346217036E-2,7.382791142E-2
9.525747083E-1,6.655191220E-3,-1.083969628E-2,-6.559231102E-2,6.681423390E-2
9.625837083E-1,1.751741756E-2,-6.790287483E-2,-1.662655771E-2,7.207012384E-2
9.726247083E-1,-9.267105907E-4,-6.811227825E-2,1.167145175E-1,1.351385209E-1
9.826337083E-1,-4.412155442E-2,-1.025698470E-2,9.904598594E-2,1.089129222E-1
9.926747083E-1,-1.013963291E-1,2.202156432E-2,2.180426717E-2,1.060263690E-1
1.002683708E0,-1.279609059E-1,2.352824561E-2,5.163793087E-2,1.399787401E-1
1.012724708E0,-8.675610708E-2,1.242557080E-2,6.881997406E-2,1.114325166E-1
1.022733708E0,1.120829014E-2,-7.584408805E-2,3.044235885E-2,8.249053686E-2
1.032774708E0,3.822366899E-2,-1.838456147E-1,9.778240263E-2,2.117112589E-1
1.042814708E0,-1.654042091E-2,-1.794186877E-1,1.531309766E-1,2.364608784E-1
1.052824708E0,-6.040246859E-2,-7.801852137E-2,1.348367929E-1,1.670817423E-1
1.062864708E0,-8.139179835E-2,-1.909531611E-2,1.306355685E-1,1.550964464E-1
1.072874708E0,-7.428812569E-2,-1.460544021E-2,9.295844972E-2,1.198887729E-1
1.082914708E0,-2.735283628E-2,-3.967788066E-2,6.806042075E-2,8.339504025E-2
1.092924708E0,2.936731171E-2,-4.112913217E-2,7.778141677E-2,9.275771292E-2
1.102964708E0,2.360818801E-2,-4.925992308E-2,1.096826559E-1,1.225323287E-1
1.113004708E0,-2.836497104E-2,1.054737205E-2,1.649248105E-1,1.676782984E-1
1.123014708E0,-4.881337853E-2,7.897907272E-2,1.339287204E-1,1.629642353E-1
1.133055708E0,-4.486351127E-2,5.731311047E-2,1.342637658E-2,7.401212646E-2
1.143064708E0,8.085785620E-4,7.322568661E-3,5.831077337E-2,5.877431499E-2
1.153105708E0,4.045743328E-3,8.617110229E-3,2.122200143E-1,2.124334181E-1
1.163114708E0,1.022963069E-2,-7.445026715E-3,2.362602568E-1,2.365987800E-1
1.173155708E0,1.938432388E-2,-6.181790591E-3,1.471270555E-1,1.485272265E-1
1.183164708E0,4.501131792E-3,3.169133782E-3,7.672248602E-2,7.691972086E-2
1.193205708E0,-9.535091110E-3,6.242447459E-3,6.697400808E-2,6.793676377E-2
1.203245708E0,2.672685530E-2,-1.300258935E-2,-7.977239370E-2,8.512947152E-2
1.213255708E0,7.456108103E-2,-9.321880613E-2,-1.668228167E-1,2.051315500E-1
1.223295708E0,8.678784650E-2,-1.203665970E-1,-5.789562106E-2,1.592863802E-1
1.233305708E0,5.072834166E-2,-6.389467246E-2,-1.858245134E-2,8.367318157E-2
1.243345708E0,-2.008544158E-2,-3.048806078E-2,-1.284516335E-2,3.870329489E-2
1.253355708E0,-8.086459877E-2,3.030320197E-2,5.636774361E-2,1.031246329E-1
1.263395708E0,-7.850572234E-2,4.160115779E-2,2.007115245E-2,9.108598098E-2
1.273435708E0,-3.279900603E-2,-4.399263473E-3,-3.978211641E-2,5.174693326E-2
1.283445708E0,2.379995842E-2,-4.480834187E-2,-9.527453184E-3,5.162361752E-2
1.293485708E0,3.653382367E-2,-5.790942597E-2,2.624990523E-2,7.332993531E-2
1.303495708E0,1.607635299E-2,-5.022635363E-2,-3.139370084E-2,6.137344846E-2
1.313535708E0,3.652865253E-4,-3.125925599E-2,-2.916181862E-2,4.275144658E-2
