"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.183206125E0,-1.826202393E-2,-5.044509888E-2,9.761500854E0,9.761648280E0
1.193247125E0,-1.661544800E-2,-5.403762817E-2,9.765692139E0,9.765855778E0
1.203256125E0,-3.128494263E-2,-6.122268677E-2,9.762848053E0,9.763090139E0
1.213297125E0,-3.532653809E-2,-7.484436035E-2,9.741442566E0,9.741794132E0
1.223306125E0,-1.062789917E-2,-6.137237549E-2,9.753866730E0,9.754065599E0
1.233347125E0,1.392105103E-2,-4.879852295E-2,9.766889648E0,9.767021475E0
1.243357125E0,1.481918335E-2,-5.748046875E-2,9.760602722E0,9.760783222E0
1.253397125E0,-4.340972900E-3,-6.092330933E-2,9.757608948E0,9.757800104E0
1.263437125E0,5.538482666E-3,-4.819976807E-2,9.762249298E0,9.762369858E0
1.273447125E0,-1.377136230E-2,-4.700225830E-2,9.768685913E0,9.768808696E0
1.283487125E0,-2.844085693E-2,-2.140548706E-2,9.756411438E0,9.756476373E0
1.293497125E0,-4.340972900E-2,-7.035369873E-3,9.758956146E0,9.759055229E0
1.303537125E0,-3.338058472E-2,3.293151855E-3,9.773326263E0,9.773383823E0
1.313547125E0,-3.083587646E-2,2.993774414E-4,9.753417664E0,9.753466413E0
1.323587125E0,-4.790039062E-2,-1.691482544E-2,9.755064240E0,9.755196506E0
1.333628125E0,-2.993774414E-2,-4.460723877E-2,9.762997742E0,9.763145547E0
1.343637125E0,-1.541793823E-2,-5.553451538E-2,9.766739960E0,9.766910015E0
1.353678125E0,7.484436035E-4,-7.933502197E-2,9.759854279E0,9.760176748E0
1.363687125E0,1.167572021E-2,-9.340576172E-2,9.768236847E0,9.768690396E0
1.373728125E0,2.724334717E-2,-9.714797974E-2,9.756710815E0,9.757232490E0
1.383737125E0,2.754272461E-2,-9.220825195E-2,9.750124512E0,9.750599415E0
1.393778125E0,1.856140137E-2,-7.439529419E-2,9.765243073E0,9.765544094E0
1.403787125E0,2.020797729E-2,-5.598358154E-2,9.754315796E0,9.754497382E0
1.413828125E0,6.436614990E-3,-4.730163574E-2,9.748927002E0,9.749043879E0
1.423868125E0,-1.945953369E-3,-3.158432007E-2,9.753567352E0,9.753618685E0
1.433878125E0,-1.047821045E-3,-1.751358032E-2,9.750423889E0,9.750439674E0
1.443918125E0,-1.347198486E-2,-2.784210205E-2,9.758058014E0,9.758107034E0
1.453928125E0,-4.505630493E-2,-2.739303589E-2,9.757459259E0,9.757601736E0
1.463968125E0,-4.775070190E-2,-4.206253052E-2,9.745184784E0,9.745392545E0
1.473978125E0,-4.086502075E-2,-4.879852295E-2,9.760003967E0,9.760211508E0
1.484018125E0,-2.380050659E-2,-3.906875610E-2,9.756710815E0,9.756818066E0
1.494058125E0,-6.586303711E-3,-3.712280273E-2,9.754615173E0,9.754688035E0
1.504068125E0,-3.742218018E-3,-3.682342529E-2,9.762099609E0,9.762169777E0
1.514108125E0,-1.347198486E-3,-4.131408691E-2,9.751471710E0,9.751559321E0
1.524118125E0,-8.831634521E-3,-5.179229736E-2,9.750124512E0,9.750266070E0
1.534159125E0,-1.197509766E-3,-6.960525513E-2,9.762997742E0,9.763245937E0
1.544168125E0,-0.000000000E0,-6.691085815E-2,9.762698364E0,9.762927656E0
1.554209125E0,4.191284180E-3,-6.750961304E-2,9.765093384E0,9.765327640E0
1.564218125E0,1.601669312E-2,-5.912704468E-2,9.749525757E0,9.749718202E0
1.574259125E0,1.481918335E-2,-2.948867798E-2,9.755363617E0,9.755419442E0
1.584299125E0,3.592529297E-3,-5.239105225E-3,9.752519531E0,9.752521600E0
1.594309125E0,5.089416504E-3,-1.332229614E-2,9.751471710E0,9.751482139E0
1.604349125E0,-1.601669312E-2,-2.933898926E-2,9.753417664E0,9.753474941E0
1.614359125E0,-4.146377563E-2,-4.954696655E-2,9.752519531E0,9.752733532E0
1.624399125E0,-4.625381470E-2,-7.125183105E-2,9.763746185E0,9.764115721E0
1.634402250E0,-4.370910645E-2,-8.113128662E-2,9.756710815E0,9.757146033E0
1.644442250E0,-3.802093506E-2,-7.439529419E-2,9.760453033E0,9.760810605E0
1.654482250E0,-2.365081787E-2,-7.035369873E-2,9.762848053E0,9.763130190E0
1.664492250E0,-1.796264648E-3,-5.463638306E-2,9.762997742E0,9.763150786E0
1.674532250E0,1.077758789E-2,-3.218307495E-2,9.756411438E0,9.756470471E0
1.684542250E0,1.886077881E-2,-3.652404785E-2,9.757309570E0,9.757396158E0
1.694582250E0,1.691482544E-2,-3.128494263E-2,9.754465485E0,9.754530319E0
1.704592250E0,8.083190918E-3,-3.607498169E-2,9.745783539E0,9.745853658E0
1.714632250E0,-3.592529297E-3,-4.595443726E-2,9.747430115E0,9.747539103E0
1.724642250E0,-2.080673218E-2,-5.837860107E-2,9.765093384E0,9.765290051E0
1.734683250E0,-1.407073975E-2,-5.822891235E-2,9.769134979E0,9.769318647E0
1.744723250E0,-9.430389404E-3,-5.328918457E-2,9.753267975E0,9.753418112E0
1.754733250E0,-1.122665405E-2,-5.463638306E-2,9.761051788E0,9.761211154E0
1.764773250E0,5.089416504E-3,-4.775070190E-2,9.760303345E0,9.760421477E0
1.774783250E0,1.002914429E-2,-3.263214111E-2,9.756860504E0,9.756920228E0
1.784823250E0,1.496887207E-2,-2.844085693E-2,9.759704590E0,9.759757509E0
1.794833250E0,1.197509766E-2,-2.888992310E-2,9.757159882E0,9.757210000E0
1.804873250E0,2.993774414E-4,-3.397933960E-2,9.750423889E0,9.750483101E0
1.814913250E0,-1.646575928E-2,-4.685256958E-2,9.757010193E0,9.757136577E0
1.824923250E0,-2.619552612E-2,-6.691085815E-2,9.756710815E0,9.756975413E0
1.834963250E0,-3.353027344E-2,-7.454498291E-2,9.769284668E0,9.769626613E0
