"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.253432375E0,-1.694269108E-2,3.791607986E-1,-7.188099146E-2,3.862859601E-1
1.263472375E0,2.031602744E-2,4.194313037E-1,-1.262197512E-1,4.384823658E-1
1.273482375E0,7.038328199E-2,2.306769698E-1,-7.502796292E-2,2.525764558E-1
1.283522375E0,6.336339810E-2,1.538163433E-1,-9.343967557E-2,1.908018885E-1
1.293563375E0,7.167105814E-2,7.804618601E-2,-1.070671964E-1,1.506364241E-1
1.303573375E0,8.711021994E-2,2.144046072E-1,-1.139634025E-1,2.579635306E-1
1.313613375E0,2.948583660E-2,2.281434626E-1,-9.166796923E-2,2.476325316E-1
1.323623375E0,-2.984153917E-3,1.911472521E-1,-6.188985407E-2,2.009391231E-1
1.333663375E0,3.414877181E-2,6.185287500E-2,-6.385217965E-2,9.523138982E-2
1.343673375E0,-3.218517629E-3,-1.547916589E-1,-8.377949059E-2,1.760392557E-1
1.353713375E0,-1.204848021E-1,-2.674008463E-1,-8.408705413E-2,3.051072480E-1
1.363753375E0,-2.226602910E-1,-4.759436198E-1,-6.013919771E-2,5.288824609E-1
1.373763375E0,-1.443629122E-1,-3.414373407E-1,-4.471307337E-2,3.733890290E-1
1.383803375E0,-6.183728852E-2,-8.369394765E-2,-2.464484453E-2,1.069387464E-1
1.393813375E0,5.394826627E-2,5.203205605E-2,-6.714825511E-2,1.006312002E-1
1.403853375E0,2.716532338E-2,1.898335289E-1,-8.854555607E-2,2.112227237E-1
1.413863375E0,5.032282812E-2,3.385195070E-1,-1.201205206E-1,3.627075724E-1
1.423903375E0,5.509398707E-2,6.905558031E-1,-9.106512129E-2,6.987098975E-1
1.433944375E0,1.368983019E-2,5.703855081E-1,-9.733918369E-2,5.787935348E-1
1.443953375E0,4.859164115E-2,3.934458023E-1,-1.622929788E-1,4.283687172E-1
1.453994375E0,1.547752958E-2,3.111337801E-1,-1.200760818E-1,3.338593243E-1
1.464003375E0,1.083477183E-1,2.283585488E-1,-1.491232949E-1,2.934699507E-1
1.474044375E0,4.552806560E-2,3.259921763E-1,-1.054200357E-1,3.456256468E-1
1.484084375E0,1.949658128E-3,3.035929733E-1,-3.193105996E-2,3.052737905E-1
1.494094375E0,1.686985213E-2,2.143441251E-1,-1.052954900E-1,2.394057979E-1
1.504134375E0,5.089559487E-2,2.809433449E-1,-9.588556588E-2,3.011869293E-1
1.514144375E0,8.744331937E-2,2.005106909E-1,-6.596653283E-2,2.284785651E-1
1.524184375E0,1.909123676E-2,-4.465838363E-2,-1.024993515E-1,1.134238229E-1
1.534194375E0,-7.208687284E-2,-2.083108218E-1,-4.728233993E-2,2.254451937E-1
1.544234375E0,-8.769754535E-2,-7.143500422E-2,-1.348555040E-1,1.760108697E-1
1.554274375E0,-1.122600264E-1,-2.519284056E-2,-1.493963599E-3,1.150618297E-1
1.564284375E0,-6.169054625E-2,1.116536610E-1,-1.122706336E-1,1.699322179E-1
1.574324375E0,-5.355284375E-2,3.143520876E-1,-2.515355229E-2,3.198716043E-1
1.584334375E0,5.190370966E-2,3.474725078E-1,-8.503137946E-2,3.614712633E-1
1.594375375E0,1.542198103E-2,2.873779864E-1,-9.325841188E-2,3.025245048E-1
1.604384375E0,5.269518969E-2,5.891718445E-2,-9.655448735E-2,1.247829582E-1
1.614425375E0,-4.110956227E-2,2.167215481E-1,-1.251421094E-1,2.536114608E-1
1.624465375E0,-8.129177442E-2,1.141285772E-1,-3.339052498E-2,1.440437846E-1
1.634475375E0,-4.007430817E-2,-1.963887510E-1,-1.515001881E-1,2.512504701E-1
1.644515375E0,-1.637150216E-1,-1.659109617E-1,-6.364694238E-2,2.416195124E-1
1.654525375E0,-9.907029756E-2,2.543039740E-2,-1.344602323E-1,1.689413597E-1
1.664565375E0,-1.211924979E-1,1.380490522E-1,-3.911728799E-2,1.878172638E-1
1.674605375E0,4.033186889E-2,3.264441296E-1,-1.319242948E-1,3.543958930E-1
1.684615375E0,6.183086572E-2,1.875815104E-1,-2.220304728E-2,1.987532498E-1
1.694655375E0,1.144011397E-1,-1.749347138E-1,-1.409067875E-1,2.520803396E-1
1.704665375E0,2.129895810E-2,-5.463203784E-1,-6.340135932E-3,5.467721636E-1
1.714705375E0,4.296832361E-2,-5.126388083E-1,-1.033413506E-1,5.247135022E-1
1.724715375E0,-1.999786856E-1,-3.308805217E-1,-8.178617477E-2,3.951738513E-1
1.734755375E0,-8.560926709E-2,-3.315818952E-1,7.572144270E-3,3.425388113E-1
1.744796375E0,-1.419083607E-1,-1.170250320E-1,-1.747498870E-1,2.537131529E-1
1.754805375E0,-5.910284725E-2,-9.681205720E-2,-2.755792737E-3,1.134606336E-1
1.764857417E0,3.537761900E-2,-9.446895911E-2,-1.507920903E-1,1.814227512E-1
1.774867417E0,-1.249148446E-2,-2.431946525E-1,-4.465518594E-2,2.475757699E-1
1.784907417E0,4.412144022E-2,-3.828646443E-1,-8.596868813E-2,3.948704252E-1
1.794917417E0,-1.306192511E-1,-1.267025303E-1,-1.283241642E-1,2.226701844E-1
1.804957417E0,-6.192253453E-2,1.107398325E-1,-1.426662147E-2,1.276763380E-1
1.814997417E0,-9.851338682E-2,2.853777453E-1,-1.266805118E-1,3.274038744E-1
1.825007417E0,-1.900475736E-2,4.250408301E-1,-5.962347329E-2,4.296229121E-1
1.835047417E0,-4.895818848E-3,4.104215484E-1,-1.404588908E-1,4.338185294E-1
1.845057417E0,-5.399369640E-2,2.525783738E-1,-1.058802116E-1,2.791447177E-1
1.855097417E0,2.194210614E-2,1.346961126E-1,-6.965495646E-2,1.532198151E-1
1.865137417E0,-1.604477345E-2,-2.109894678E-1,-8.596751869E-2,2.283952814E-1
1.875147417E0,-2.795276974E-2,-4.482775189E-1,-6.845803142E-2,4.543353314E-1
1.885188417E0,-4.206452223E-2,-4.941894542E-1,-6.950702190E-2,5.008231891E-1
1.895197417E0,-5.941041537E-2,-5.435458746E-1,-5.394348800E-2,5.494375444E-1
1.905238417E0,-8.720732027E-2,-4.420696397E-1,-6.771835864E-2,4.556494915E-1
1.915247417E0,-1.123025466E-1,-2.046245726E-1,-7.086474538E-2,2.439362413E-1
1.925288417E0,-7.090576725E-2,-1.145194088E-1,-9.092478812E-2,1.625104301E-1
1.935328417E0,-2.538840023E-2,-2.587780076E-2,-7.655116260E-2,8.470131011E-2
1.945338417E0,3.311132957E-2,7.122106008E-2,-5.184960008E-2,9.411259519E-2
1.955378417E0,4.902427115E-2,1.979169391E-1,-6.891060591E-2,2.152281709E-1
1.965388417E0,5.597186884E-2,1.618556984E-1,-9.121188641E-2,1.940353716E-1
1.975428417E0,8.976967067E-2,4.932359378E-2,-8.806608438E-2,1.350816268E-1
1.985438417E0,8.502035198E-2,-4.215004232E-3,-1.094698173E-1,1.386717974E-1
1.995478417E0,-1.009565637E-2,1.245729560E-1,-7.818019688E-2,1.474194249E-1
2.005518417E0,-9.024265559E-2,-2.879015498E-2,-2.587112260E-1,2.755070024E-1
2.015528417E0,-2.427717892E-1,3.846052142E-1,-7.892086369E-1,9.108839580E-1
2.025568417E0,6.732998931E-2,9.272274754E-3,1.586504558E0,1.587959702E0
2.035578417E0,-1.795774487E-2,-8.227840070E-1,-4.167795914E-1,9.224972794E-1
2.045618417E0,-3.795159804E-1,-3.401941495E-1,-4.000033450E-1,6.478943701E-1
2.055659417E0,9.385310112E-2,3.414112109E-1,-4.444673270E-1,5.682615809E-1
2.065669417E0,-1.191594393E-1,3.771917488E-1,-1.723332328E-1,4.314757588E-1
2.075709417E0,2.518012058E-1,3.051000017E-1,7.849255514E-1,8.789755284E-1
2.085719417E0,2.126066797E-2,-1.728076429E-1,-6.892142326E-1,7.108662011E-1
2.095759417E0,-1.143140801E-1,-1.959098093E-1,-4.106569719E-1,4.691348536E-1
2.105769417E0,1.462767333E-1,-5.948482119E-2,3.082961994E-1,3.463839968E-1
2.115809417E0,-3.859812833E-2,-1.846266199E-1,9.888928056E-2,2.129692328E-1
2.125849417E0,-9.783066044E-2,-2.915121872E-1,-2.548275054E-1,3.993585493E-1
2.135859417E0,-2.917444952E-2,-3.025943602E-1,-1.721999162E-1,3.493813196E-1
2.145899417E0,-1.120923118E-2,-4.995007725E-2,1.469340974E-1,1.555965490E-1
2.155909417E0,-6.000832971E-3,-2.150080581E-1,-2.550087690E-2,2.165981758E-1
2.165949417E0,-1.338667947E-2,-1.310239333E-1,-2.257814616E-1,2.613881074E-1
2.175990417E0,1.306231432E-2,1.238184368E-1,-1.157596672E-1,1.700056761E-1
2.185999417E0,5.153327028E-2,1.894675846E-1,1.926365197E-2,1.972935170E-1
2.196040417E0,9.875175222E-3,2.029902941E-1,-8.431801915E-2,2.200275140E-1
2.206049417E0,-9.032637128E-3,1.880995920E-1,-1.422487235E-1,2.360036957E-1
2.216090417E0,5.136287876E-2,8.253231604E-2,-9.943833411E-2,1.390600978E-1
2.226099417E0,2.562774778E-2,-2.598545805E-2,-6.157001138E-2,7.157437940E-2
2.236140417E0,-4.324331176E-3,4.455692987E-2,-5.962230384E-2,7.455762171E-2
2.246180417E0,-8.142929362E-2,3.311247161E-1,-6.201439977E-2,3.465834578E-1
2.256190417E0,-1.008282538E-1,2.862432977E-1,-6.545840979E-2,3.104615365E-1
2.266230417E0,-5.579406323E-2,4.002197651E-1,-8.836487710E-2,4.136389602E-1
2.276240417E0,-7.886501547E-2,3.318734520E-1,-9.600484908E-2,3.543679019E-1
2.286280417E0,-2.184248877E-2,1.533067219E-1,-9.077217579E-2,1.794982819E-1
2.296290417E0,6.123504815E-2,3.628198683E-2,-9.347125053E-2,1.174861199E-1
2.306330417E0,1.090316872E-1,-1.773602851E-1,-8.344502985E-2,2.242936748E-1
2.316370417E0,3.925488485E-2,7.729382979E-3,-5.845110655E-2,7.083234574E-2
2.326380417E0,1.590166285E-2,-1.400176453E-1,-9.079030216E-2,1.676325829E-1
2.336420417E0,-4.447162905E-2,-3.044799045E-1,-7.073786080E-2,3.157365721E-1
2.346430417E0,-8.576387113E-2,-3.263538632E-1,-6.789845288E-2,3.441983229E-1
2.356471417E0,-8.537209854E-2,-4.734043933E-1,-6.730262160E-2,4.857260109E-1
2.366511417E0,-8.363997054E-2,-4.724310146E-1,-4.739402175E-2,4.821129551E-1
2.376521417E0,-1.196500207E-3,-5.493936384E-1,-6.924857497E-2,5.537419676E-1
2.386561417E0,5.214366477E-3,-1.361626582E-1,-8.301701367E-2,1.595596555E-1
2.396571417E0,6.194741260E-3,-1.498782710E-1,-5.966381907E-2,1.614361863E-1
2.406611417E0,1.139611641E-1,-2.436757870E-1,-8.376136422E-2,2.817463438E-1
2.416621417E0,1.397476318E-1,-3.015865926E-1,-7.028762519E-2,3.397414071E-1
2.426661417E0,1.165470587E-1,-6.272270223E-1,-7.971684515E-2,6.429243578E-1
2.436701417E0,6.114691508E-3,-5.203678407E-1,-7.312878728E-2,5.255167919E-1
2.446711417E0,-8.430200326E-2,-4.695517725E-1,-4.618130922E-2,4.792894826E-1
