"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.924603334E-1,-2.887589891E-1,-5.686651111E-2,-1.580718738E-1,3.340692611E-1
9.024693333E-1,-4.393494784E-1,-3.258902247E-2,-1.950976127E-1,4.818226718E-1
9.125103333E-1,-6.267016500E-2,4.296639129E-2,-2.842916250E-3,7.603777045E-2
9.225193334E-1,3.625951982E-1,6.628697395E-2,-8.252994061E-2,3.777306338E-1
9.325603333E-1,6.214458071E-1,8.605169118E-2,4.407514215E-2,6.289216191E-1
9.425703334E-1,2.820618259E-2,-4.091396377E-2,-1.151281679E-1,1.253955191E-1
9.526103333E-1,-4.185342678E-1,-1.120881000E-1,-1.575386077E-1,4.610348017E-1
9.626503334E-1,-3.220343057E-1,-1.638136751E-1,-1.258431906E-1,3.825931557E-1
9.726603333E-1,1.371889633E-1,6.132716463E-2,-4.021364093E-2,1.555601803E-1
9.827003333E-1,3.403431804E-1,8.151293621E-2,1.894807774E-1,3.979708585E-1
9.927103333E-1,1.752218304E-1,-8.396581577E-2,1.063608527E-1,2.215075147E-1
1.002750333E0,1.947550390E-2,9.952509217E-3,2.828005850E-2,3.575065595E-2
1.012760333E0,-3.145778632E-1,-7.259720229E-3,-1.261507541E-1,3.390072983E-1
1.022800333E0,-3.477178350E-1,-2.799622186E-2,-2.216363704E-1,4.132966996E-1
1.032810333E0,-5.411252735E-2,-1.023497998E-2,-2.911585951E-1,2.963211905E-1
1.042850333E0,5.103731950E-1,-5.330486242E-2,4.827870548E-2,5.154154052E-1
1.052891333E0,5.366994794E-1,-4.611702640E-2,2.558776653E-1,5.963610408E-1
1.062900333E0,3.463136993E-1,-5.380304062E-3,2.517659032E-1,4.281917748E-1
1.072941333E0,1.268383501E-2,9.759342793E-2,2.407678753E-1,2.601048378E-1
1.082950333E0,-8.426806200E-3,-8.272191200E-2,9.158844709E-2,1.237027462E-1
1.092991333E0,-5.324876569E-2,-1.061160188E-1,2.752606004E-1,2.997739793E-1
1.103000333E0,-3.901749064E-1,1.964305769E-1,-5.106455290E-1,6.719972362E-1
1.113041333E0,-6.307591061E-1,-3.667612342E-3,-8.939866483E-1,1.094112713E0
1.123081333E0,-2.515055742E-1,-3.717346794E-2,-3.938491505E-1,4.687793446E-1
1.133091333E0,3.333356214E-1,-6.446911572E-2,4.012944102E-3,3.395364591E-1
1.143131333E0,6.741244693E-1,-6.959903789E-2,2.050793946E-1,7.080574724E-1
1.153141333E0,4.540971430E-1,-1.613167770E-2,1.189475691E-1,4.696945502E-1
1.163181333E0,6.197978242E-2,-9.060048692E-2,-5.246648133E-2,1.216662374E-1
1.173191333E0,-3.891435307E-1,-1.470854672E-1,-1.446033973E-1,4.404281606E-1
1.183231333E0,-6.048341964E-1,-9.687963822E-3,-3.052310890E-1,6.775575839E-1
1.193271333E0,-3.072699400E-1,1.767873676E-1,-2.131315953E-1,4.136347015E-1
1.203281333E0,2.218069629E-1,2.345232683E-1,1.124308473E-1,3.418189398E-1
1.213321333E0,3.797984375E-1,6.403667757E-2,2.758002985E-1,4.737228661E-1
1.223331333E0,1.635015982E-1,-8.302404860E-2,2.155277842E-1,2.829805489E-1
1.233372333E0,-2.250095743E-1,-1.548146275E-1,-6.912344456E-2,2.817355640E-1
1.243381333E0,-4.805615314E-1,-2.009896327E-1,-2.685386413E-1,5.860454076E-1
1.253422333E0,-2.097445225E-1,7.092509961E-2,-4.185612381E-2,2.253332412E-1
1.263462333E0,1.213960998E-1,3.442992969E-1,3.911009592E-1,5.350130645E-1
1.273472333E0,3.765740270E-1,3.241978486E-1,4.822812706E-1,6.924647766E-1
1.283512333E0,3.420330258E-1,7.603027618E-2,3.947110301E-1,5.277916169E-1
1.293522333E0,1.146522502E-2,-1.410094061E-1,2.157300979E-1,2.579817419E-1
1.303562333E0,-1.335977497E-1,-8.736068177E-2,-2.199137807E-2,1.611330759E-1
1.313572333E0,-1.730445648E-1,1.142215571E-1,-7.463678420E-2,2.203670462E-1
1.323612333E0,-2.487723115E-1,1.921244680E-1,-3.041078389E-2,3.157915293E-1
1.333622333E0,-2.183855926E-1,1.183618974E-1,7.983203530E-2,2.609117852E-1
1.343662333E0,-8.476043411E-2,4.417898504E-2,4.967735946E-2,1.077216503E-1
1.353702333E0,-2.208239592E-2,-5.895877277E-2,-5.110641897E-2,8.109029015E-2
1.363712333E0,-9.247120307E-3,-1.238975295E-1,-1.048844308E-1,1.625941293E-1
1.373752333E0,8.719783681E-2,-2.731978124E-2,6.463219821E-2,1.119247704E-1
1.383762333E0,2.293562300E-1,1.948673786E-1,3.613152426E-1,4.702406618E-1
1.393802333E0,2.095267685E-1,3.090152608E-1,3.791843337E-1,5.321396969E-1
1.403812333E0,2.671863722E-2,2.294363551E-1,1.629765183E-1,2.826946624E-1
1.413852333E0,-1.452658685E-1,1.157641074E-1,-3.445296407E-2,1.889193157E-1
1.423893333E0,-2.333833170E-1,-6.628845859E-2,-9.808821201E-2,2.616930067E-1
1.433903333E0,-1.493529078E-1,-2.599382459E-1,-6.573673725E-2,3.069128563E-1
1.443943333E0,2.130777917E-2,-3.093492464E-1,7.415789723E-2,3.188265539E-1
1.453953333E0,1.994154526E-1,-2.763817492E-1,2.307176811E-1,4.115629264E-1
1.463993333E0,3.402098639E-1,-1.459329445E-1,2.601818007E-1,4.524751322E-1
1.474003333E0,2.836307069E-1,-2.692916896E-3,1.640202463E-1,3.276526681E-1
1.484043333E0,1.414189397E-1,3.803853152E-2,1.586057246E-2,1.473017452E-1
1.494083333E0,4.373705431E-2,1.010347884E-1,-1.030285245E-1,1.507840683E-1
1.504093333E0,-1.695138653E-3,1.815158281E-1,-7.162839174E-3,1.816650093E-1
1.514133333E0,3.701884792E-3,5.762166074E-2,7.043555975E-2,9.107759227E-2
1.524143333E0,7.525164405E-3,-1.702976343E-1,-7.441166639E-3,1.706261507E-1
1.534183333E0,1.141621005E-2,-2.868187185E-1,-1.633741289E-1,3.302823234E-1
1.544193333E0,-3.230757953E-2,-2.515652158E-1,-3.150427169E-1,4.044511725E-1
1.554233333E0,-4.808130256E-2,-1.453639738E-1,-3.139744306E-1,3.493171046E-1
1.564243333E0,-3.026817578E-2,-5.529692656E-2,-1.107772547E-1,1.274578860E-1
1.574283333E0,6.232287237E-2,6.273651263E-2,2.018564093E-1,2.203769961E-1
1.584324333E0,1.719408663E-1,1.454372285E-1,3.265950608E-1,3.967114602E-1
1.594333333E0,5.010548071E-2,3.394118652E-2,1.077618456E-1,1.235927939E-1
1.604374333E0,-1.353682226E-1,-1.543624184E-1,-1.670777553E-1,2.647022634E-1
1.614384333E0,-1.984915377E-1,-2.011756655E-1,-2.896815884E-1,4.047047833E-1
1.624424333E0,-1.225592846E-1,-1.542296867E-1,-3.105982482E-1,3.678027274E-1
1.634434333E0,4.968935082E-2,-9.547205810E-2,-2.497585541E-1,2.719619106E-1
1.644474333E0,8.159405719E-3,5.468546312E-2,-1.697674745E-1,1.785443116E-1
1.654514333E0,-1.081313165E-1,1.948184813E-1,-1.242223424E-1,2.551035331E-1
1.664524333E0,-8.495469871E-2,2.858401139E-1,-1.109076476E-1,3.181546446E-1
1.674564333E0,7.266354077E-2,2.304483802E-1,-8.520855010E-2,2.562165941E-1
1.684574333E0,8.323133240E-2,-2.449882859E-2,-1.502126312E-1,1.734689652E-1
1.694614333E0,-9.324956797E-2,-3.072023316E-1,-1.857905996E-1,3.709270836E-1
1.704624333E0,-1.852734865E-1,-3.478539290E-1,-1.967389262E-1,4.404938430E-1
1.714664333E0,-1.090992591E-1,-7.345849715E-2,-1.995543605E-1,2.389994601E-1
1.724705333E0,-6.429735376E-3,2.079436897E-1,-1.046131200E-1,2.328643907E-1
1.734714333E0,1.343961504E-2,3.293601360E-1,-4.937681258E-2,3.333118541E-1
1.744755333E0,-1.560895946E-2,3.369816893E-1,-9.253101826E-2,3.498032130E-1
1.754764333E0,-3.913084622E-3,2.380243983E-1,-1.228505856E-1,2.678865297E-1
1.764805333E0,4.406425171E-5,8.272839876E-2,-1.269898295E-1,1.515599113E-1
1.774814333E0,-5.741677064E-2,-1.070071528E-2,-9.744677246E-2,1.136092616E-1
1.784855333E0,-9.766907629E-2,-3.398630144E-2,2.803155184E-2,1.071451588E-1
1.794864333E0,-1.470083570E-1,-4.820026143E-2,3.255554259E-2,1.580967602E-1
1.804905333E0,-1.708867412E-1,-9.918999190E-2,-8.219957292E-2,2.140039780E-1
1.814960458E0,-1.485363076E-1,-8.876192132E-2,-6.292247236E-2,1.841221086E-1
1.824970458E0,-5.322575142E-2,-3.431820402E-2,3.418866992E-3,6.342245968E-2
1.835010458E0,9.012588487E-2,5.877297750E-2,-1.255338728E-2,1.083260151E-1
1.845020458E0,2.221527344E-1,1.664044850E-1,-2.363210678E-2,2.785691413E-1
1.855060458E0,1.879454447E-1,1.931913656E-1,3.107678175E-2,2.713156101E-1
1.865070458E0,4.033504374E-2,1.633429377E-1,7.824743986E-2,1.855545550E-1
1.875110458E0,-4.832665265E-2,1.257676336E-1,7.164768755E-2,1.525986702E-1
1.885150458E0,-9.271027196E-2,2.870933549E-2,8.825202584E-2,1.311786588E-1
1.895160458E0,-2.906842763E-2,-4.979832374E-2,1.055363953E-2,5.861932991E-2
1.905201458E0,1.133070708E-1,-2.230720080E-2,-1.313916135E-1,1.749281555E-1
1.915210458E0,2.080451754E-1,1.911246490E-2,-1.247111696E-1,2.433124682E-1
1.925251458E0,2.352411236E-1,6.382941205E-2,-7.476659238E-2,2.549561206E-1
1.935260458E0,1.969003641E-1,4.828351116E-2,2.085818768E-2,2.038041090E-1
1.945301458E0,2.103483206E-1,-7.904518280E-2,7.001105189E-2,2.353637701E-1
1.955341458E0,2.586283782E-1,-2.469431563E-1,-1.772466481E-2,3.580275467E-1
1.965351458E0,2.433624311E-1,-2.884104037E-1,-3.387292027E-2,3.788841625E-1
1.975391458E0,1.729236005E-1,-7.992257578E-2,-5.825990260E-2,1.992094526E-1
1.985401458E0,1.240057396E-2,7.520978392E-2,-1.083214241E-1,1.324530738E-1
1.995441458E0,-1.320739836E-2,1.940569911E-1,-1.188008040E-1,2.279170511E-1
2.005451458E0,5.591474885E-2,2.416462367E-1,4.518728256E-3,2.480721302E-1
2.015491458E0,6.576456634E-2,1.638386171E-2,9.796366632E-2,1.191229996E-1
2.025531458E0,5.668546669E-2,-2.556776174E-1,-4.512296319E-3,2.619248881E-1
2.035541458E0,-2.000604736E-2,-2.921957815E-1,-1.547728747E-1,3.312601084E-1
2.045581458E0,-6.813965052E-2,-2.163272996E-1,-1.901116920E-1,2.959441973E-1
2.055591458E0,-7.682419103E-3,-4.707312838E-2,-8.640605986E-2,9.869602910E-2
